TIME,EURUSD
1982-10-11,0.7828
1982-10-12,0.7836
1982-10-13,0.7803
1982-10-14,0.776
1982-10-15,0.7776
1982-10-18,0.7773
1982-10-19,0.7765
1982-10-20,0.7736
1982-10-21,0.7733
1982-10-22,0.7721
1982-10-25,0.7663
1982-10-26,0.7681
1982-10-27,0.7673
1982-10-28,0.7636
1982-10-29,0.7636
1982-11-01,0.7671
1982-11-02,0.7679
1982-11-03,0.7632
1982-11-04,0.7589
1982-11-05,0.7581
1982-11-08,0.7539
1982-11-09,0.7578
1982-11-10,0.7588
1982-11-11,0.7554
1982-11-12,0.7553
1982-11-15,0.7564
1982-11-16,0.7606
1982-11-17,0.7602
1982-11-18,0.7623
1982-11-19,0.769
1982-11-22,0.7667
1982-11-23,0.7688
1982-11-24,0.7749
1982-11-25,0.7775
1982-11-26,0.7817
1982-11-29,0.7864
1982-11-30,0.7936
1982-12-01,0.7929
1982-12-02,0.8013
1982-12-03,0.8062
1982-12-06,0.8082
1982-12-07,0.8058
1982-12-08,0.8012
1982-12-09,0.7977
1982-12-10,0.7971
1982-12-13,0.7893
1982-12-14,0.8012
1982-12-15,0.7988
1982-12-16,0.8093
1982-12-17,0.8086
1982-12-20,0.8087
1982-12-21,0.8138
1982-12-22,0.8134
1982-12-23,0.8164
1982-12-24,0.8178
1982-12-27,0.8207
1982-12-28,0.8254
1982-12-29,0.8236
1982-12-30,0.8213
1982-12-31,0.8233
1983-01-03,0.8248
1983-01-04,0.8283
1983-01-05,0.8338
1983-01-06,0.8328
1983-01-07,0.8364
1983-01-10,0.8383
1983-01-11,0.8324
1983-01-12,0.8294
1983-01-13,0.8346
1983-01-14,0.8305
1983-01-17,0.8278
1983-01-18,0.817
1983-01-19,0.8079
1983-01-20,0.8073
1983-01-21,0.7952
1983-01-24,0.7992
1983-01-25,0.8074
1983-01-26,0.8079
1983-01-27,0.8057
1983-01-28,0.8042
1983-01-31,0.7921
1983-02-01,0.792
1983-02-02,0.7856
1983-02-03,0.7918
1983-02-04,0.79
1983-02-07,0.7989
1983-02-08,0.7997
1983-02-09,0.805
1983-02-10,0.8113
1983-02-11,0.8133
1983-02-14,0.8123
1983-02-15,0.8115
1983-02-16,0.8164
1983-02-17,0.8165
1983-02-18,0.8148
1983-02-21,0.8179
1983-02-22,0.8095
1983-02-23,0.8086
1983-02-24,0.8105
1983-02-25,0.8102
1983-02-28,0.8021
1983-03-01,0.8005
1983-03-02,0.8048
1983-03-03,0.8069
1983-03-04,0.8155
1983-03-07,0.8193
1983-03-08,0.8128
1983-03-09,0.8131
1983-03-10,0.8173
1983-03-11,0.8157
1983-03-14,0.8216
1983-03-15,0.8191
1983-03-16,0.8218
1983-03-17,0.8189
1983-03-18,0.8147
1983-03-21,0.8097
1983-03-22,0.8096
1983-03-23,0.8077
1983-03-24,0.8075
1983-03-25,0.8078
1983-03-28,0.8044
1983-03-29,0.8052
1983-03-30,0.8055
1983-03-31,0.805
1983-04-01,0.8058
1983-04-04,0.8074
1983-04-05,0.8097
1983-04-06,0.8102
1983-04-07,0.8092
1983-04-08,0.8059
1983-04-11,0.8071
1983-04-12,0.8061
1983-04-13,0.8013
1983-04-14,0.8034
1983-04-15,0.8026
1983-04-18,0.7951
1983-04-19,0.7977
1983-04-20,0.7953
1983-04-21,0.7967
1983-04-22,0.799
1983-04-25,0.7998
1983-04-26,0.7987
1983-04-27,0.7976
1983-04-28,0.7943
1983-04-29,0.7932
1983-05-02,0.7944
1983-05-03,0.7965
1983-05-04,0.7997
1983-05-05,0.8004
1983-05-06,0.8017
1983-05-09,0.803
1983-05-10,0.8011
1983-05-11,0.8024
1983-05-12,0.8012
1983-05-13,0.8
1983-05-16,0.7943
1983-05-17,0.7943
1983-05-18,0.7927
1983-05-19,0.7892
1983-05-20,0.7891
1983-05-23,0.7872
1983-05-24,0.784
1983-05-25,0.7857
