TIME,GBPUSD
1993-05-12,1.5338
1993-05-13,1.5225
1993-05-14,1.5387
1993-05-17,1.5354999999999999
1993-05-18,1.5365
1993-05-19,1.5432000000000001
1993-05-20,1.5565
1993-05-21,1.5425
1993-05-24,1.5365
1993-05-25,1.542
1993-05-26,1.5472000000000001
1993-05-27,1.562
1993-05-28,1.5607
1993-05-31,1.561
1993-06-01,1.5554999999999999
1993-06-02,1.54
1993-06-03,1.5501
1993-06-04,1.5085
1993-06-07,1.5268000000000002
1993-06-08,1.5205
1993-06-09,1.5152
1993-06-10,1.5305
1993-06-11,1.5215
1993-06-14,1.5285
1993-06-15,1.5165
1993-06-16,1.5062
1993-06-17,1.514
1993-06-18,1.4975
1993-06-21,1.4885
1993-06-22,1.4778
1993-06-23,1.4735
1993-06-24,1.4689999999999999
1993-06-25,1.4762
1993-06-28,1.4959
1993-06-29,1.5123
1993-06-30,1.4908000000000001
1993-07-01,1.5150000000000001
1993-07-02,1.5070000000000001
1993-07-05,1.5105
1993-07-06,1.504
1993-07-07,1.4955
1993-07-08,1.4969999999999999
1993-07-09,1.48
1993-07-12,1.479
1993-07-13,1.4969999999999999
1993-07-14,1.5025
1993-07-15,1.4889999999999999
1993-07-16,1.486
1993-07-19,1.4995
1993-07-20,1.5122
1993-07-21,1.516
1993-07-22,1.514
1993-07-23,1.5034999999999998
1993-07-26,1.5015
1993-07-27,1.4898
1993-07-28,1.496
1993-07-29,1.48
1993-07-30,1.4815
1993-08-02,1.5013
1993-08-03,1.5
1993-08-04,1.501
1993-08-05,1.4964
1993-08-06,1.4979
1993-08-09,1.491
1993-08-10,1.4668
1993-08-11,1.4725
1993-08-12,1.465
1993-08-13,1.459
1993-08-16,1.491
1993-08-17,1.488
1993-08-18,1.5150000000000001
1993-08-19,1.5045
1993-08-20,1.5150000000000001
1993-08-23,1.505
1993-08-24,1.4985
1993-08-25,1.482
1993-08-26,1.509
1993-08-27,1.5030000000000001
1993-08-30,1.4937
1993-08-31,1.4912
1993-09-01,1.5034999999999998
1993-09-02,1.5037
1993-09-03,1.53
1993-09-06,1.5268000000000002
1993-09-07,1.5388
1993-09-08,1.5417999999999998
1993-09-09,1.5488
1993-09-10,1.5525
1993-09-13,1.545
1993-09-14,1.5445
1993-09-15,1.5485
1993-09-16,1.5310000000000001
1993-09-17,1.532
1993-09-20,1.5338
1993-09-21,1.5165
1993-09-22,1.5175
1993-09-23,1.5055
1993-09-24,1.508
1993-09-27,1.5127000000000002
1993-09-28,1.513
1993-09-29,1.5135
1993-09-30,1.495
1993-10-01,1.504
1993-10-04,1.5154999999999998
1993-10-05,1.5175
1993-10-06,1.5245
1993-10-07,1.5225
1993-10-08,1.534
1993-10-11,1.5312000000000001
1993-10-12,1.532
1993-10-13,1.5219
1993-10-14,1.5154999999999998
1993-10-15,1.5105
1993-10-18,1.4855
1993-10-19,1.4882
1993-10-20,1.4938
1993-10-21,1.484
1993-10-22,1.472
1993-10-25,1.4787
1993-10-26,1.4803
1993-10-27,1.4811
1993-10-28,1.4889999999999999
1993-10-29,1.478
1993-11-01,1.4812
1993-11-02,1.4736
1993-11-03,1.4835
1993-11-04,1.4814
1993-11-05,1.482
1993-11-08,1.4807000000000001
1993-11-09,1.4698
1993-11-10,1.479
1993-11-11,1.4756
1993-11-12,1.492
1993-11-15,1.4872
1993-11-16,1.4807000000000001
1993-11-17,1.479
1993-11-18,1.4769999999999999
1993-11-19,1.4735
1993-11-22,1.4755
1993-11-23,1.486
1993-11-24,1.4875
1993-11-25,1.4889999999999999
1993-11-26,1.4785
1993-11-29,1.4891
1993-11-30,1.4863
1993-12-01,1.4785
1993-12-02,1.4835
1993-12-03,1.49
1993-12-06,1.5034
1993-12-07,1.4929999999999999
1993-12-08,1.4928
1993-12-09,1.4947
1993-12-10,1.495
1993-12-13,1.4905
1993-12-14,1.4885
1993-12-15,1.478
1993-12-16,1.4874
1993-12-17,1.4874
1993-12-20,1.4858
1993-12-21,1.4887000000000001
1993-12-22,1.4967
1993-12-23,1.504
1993-12-24,1.5030000000000001
1993-12-27,1.5046
1993-12-28,1.5072
1993-12-29,1.479
1993-12-30,1.4767000000000001
1993-12-31,1.4765
1994-01-03,1.4752
1994-01-04,1.4858
1994-01-05,1.486
1994-01-06,1.4812
1994-01-07,1.4929999999999999
1994-01-10,1.4935
1994-01-11,1.4905
1994-01-12,1.5030000000000001
1994-01-13,1.4963
1994-01-14,1.4928
1994-01-17,1.4945
1994-01-18,1.4957
1994-01-19,1.4927000000000001
1994-01-20,1.4969999999999999
1994-01-21,1.4923
1994-01-24,1.4938
1994-01-25,1.4957
1994-01-26,1.4952
1994-01-27,1.508
1994-01-28,1.4954
1994-01-31,1.5074
1994-02-01,1.5013
1994-02-02,1.4943
1994-02-03,1.4867
1994-02-04,1.4769
1994-02-07,1.4843
1994-02-08,1.4672
1994-02-09,1.4605000000000001
1994-02-10,1.4633
1994-02-11,1.4625
1994-02-14,1.4846
1994-02-15,1.4736
1994-02-16,1.4764
1994-02-17,1.4802
1994-02-18,1.482
1994-02-21,1.4747
1994-02-22,1.4795
1994-02-23,1.4791
1994-02-24,1.4847000000000001
1994-02-25,1.4886
1994-02-28,1.4858
1994-03-01,1.4891
1994-03-02,1.4967
1994-03-03,1.4964
1994-03-04,1.4901
1994-03-07,1.4901
1994-03-08,1.4895
1994-03-09,1.4976
1994-03-10,1.5032
1994-03-11,1.5001
1994-03-14,1.4967
1994-03-15,1.4907
1994-03-16,1.4943
1994-03-17,1.4936
1994-03-18,1.4910999999999999
