TIME,XAUUSD
1998-04-22,313.5
1998-04-23,314.3
1998-04-24,312.9
1998-04-27,309.9
1998-04-28,308.2
1998-04-29,310.5
1998-04-30,306.9
1998-05-01,302.5
1998-05-04,304.6
1998-05-05,303.6
1998-05-06,301.0
1998-05-07,298.75
1998-05-08,300.1
1998-05-11,300.6
1998-05-12,298.2
1998-05-13,298.7
1998-05-14,298.8
1998-05-15,301.5
1998-05-18,299.8
1998-05-19,299.0
1998-05-20,299.9
1998-05-21,300.9
1998-05-22,300.1
1998-05-25,299.5
1998-05-26,295.8
1998-05-27,293.35
1998-05-28,293.45
1998-05-29,293.2
1998-06-01,288.7
1998-06-02,291.4
1998-06-03,293.4
1998-06-04,293.4
1998-06-05,291.9
1998-06-08,296.7
1998-06-09,293.9
1998-06-10,293.5
1998-06-11,287.3
1998-06-12,286.25
1998-06-15,285.1
1998-06-16,288.9
1998-06-17,293.7
1998-06-18,293.5
1998-06-19,299.0
1998-06-22,296.0
1998-06-23,295.3
1998-06-24,293.1
1998-06-25,294.1
1998-06-26,294.1
1998-06-29,293.9
1998-06-30,297.2
1998-07-01,296.7
1998-07-02,294.1
1998-07-03,295.1
1998-07-06,293.5
1998-07-07,295.2
1998-07-08,293.5
1998-07-09,292.35
1998-07-10,291.1
1998-07-13,291.9
1998-07-14,293.4
1998-07-15,294.0
1998-07-16,293.5
1998-07-17,294.75
1998-07-20,295.7
1998-07-21,295.1
1998-07-22,294.5
1998-07-23,293.4
1998-07-24,291.7
1998-07-27,290.6
1998-07-28,292.0
1998-07-29,290.3
1998-07-30,290.25
1998-07-31,286.7
1998-08-03,283.2
1998-08-04,288.6
1998-08-05,288.2
1998-08-06,287.7
1998-08-07,286.9
1998-08-10,287.2
1998-08-11,284.2
1998-08-12,283.0
1998-08-13,285.1
1998-08-14,284.3
1998-08-17,285.3
1998-08-18,285.2
1998-08-19,283.6
1998-08-20,285.4
1998-08-21,285.05
1998-08-24,284.9
1998-08-25,283.4
1998-08-26,282.5
1998-08-27,276.8
1998-08-28,274.6
1998-08-31,275.8
1998-09-01,279.1
1998-09-02,280.5
1998-09-03,285.2
1998-09-04,287.1
1998-09-07,288.8
1998-09-08,286.3
1998-09-09,284.5
1998-09-10,290.7
1998-09-11,294.0
1998-09-14,290.6
1998-09-15,290.2
1998-09-16,287.9
1998-09-17,291.2
1998-09-18,291.7
1998-09-21,289.2
1998-09-22,287.9
1998-09-23,289.5
1998-09-24,294.1
1998-09-25,294.4
1998-09-28,295.6
1998-09-29,294.9
1998-09-30,297.2
1998-10-01,300.55
1998-10-02,300.8
1998-10-05,296.9
1998-10-06,296.5
1998-10-07,300.75
1998-10-08,299.9
1998-10-09,297.0
1998-10-12,296.5
1998-10-13,296.8
1998-10-14,296.3
1998-10-15,298.7
1998-10-16,300.2
1998-10-19,296.4
1998-10-20,296.5
1998-10-21,295.5
1998-10-22,292.5
1998-10-23,293.1
1998-10-26,292.2
1998-10-27,294.0
1998-10-28,293.3
1998-10-29,293.9
1998-10-30,292.8
1998-11-02,290.2
1998-11-03,289.2
1998-11-04,291.2
1998-11-05,294.3
1998-11-06,293.4
1998-11-09,292.9
1998-11-10,293.9
1998-11-11,293.3
1998-11-12,297.1
1998-11-13,296.2
1998-11-16,295.2
1998-11-17,294.4
1998-11-18,297.7
1998-11-19,295.9
1998-11-20,296.4
1998-11-23,296.25
1998-11-24,296.5
1998-11-25,296.95
1998-11-26,296.4
1998-11-27,296.55
1998-11-30,293.6
1998-12-01,294.0
1998-12-02,293.3
1998-12-03,292.1
1998-12-04,292.7
1998-12-07,295.3
1998-12-08,293.85
1998-12-09,293.9
1998-12-10,294.5
1998-12-11,291.1
1998-12-14,291.6
1998-12-15,293.1
1998-12-16,294.8
1998-12-17,291.8
1998-12-18,289.3
1998-12-21,289.2
1998-12-22,287.9
1998-12-23,287.1
1998-12-24,286.5
1998-12-28,286.4
1998-12-29,286.6
1998-12-30,287.3
1998-12-31,288.5
1999-01-04,287.6
1999-01-05,287.2
1999-01-06,287.9
1999-01-07,291.95
1999-01-08,291.6
1999-01-11,293.2
1999-01-12,288.8
1999-01-13,286.8
1999-01-14,286.7
1999-01-15,286.7
1999-01-18,287.1
1999-01-19,286.8
1999-01-20,286.8
1999-01-21,287.8
1999-01-22,286.6
1999-01-25,288.0
1999-01-26,286.3
1999-01-27,283.4
1999-01-28,284.5
1999-01-29,286.4
1999-02-01,289.1
1999-02-02,288.8
1999-02-03,287.9
1999-02-04,289.8
1999-02-05,288.8
1999-02-08,289.3
1999-02-09,288.0
1999-02-10,287.4
1999-02-11,287.7
1999-02-12,289.8
1999-02-15,289.75
1999-02-16,285.3
1999-02-17,285.0
1999-02-18,286.7
1999-02-19,288.6
1999-02-22,287.5
1999-02-23,287.2
1999-02-24,288.2
1999-02-25,288.2
1999-02-26,287.3
1999-03-01,286.9
1999-03-02,287.0
1999-03-03,286.9
1999-03-04,288.5
1999-03-05,288.2
1999-03-08,291.8
1999-03-09,292.3
1999-03-10,292.7
1999-03-11,294.1
1999-03-12,292.1
1999-03-15,286.9
1999-03-16,284.3
1999-03-17,284.3
1999-03-18,283.6
1999-03-19,284.5
1999-03-22,284.6
1999-03-23,284.8
1999-03-24,284.3
1999-03-25,283.7
1999-03-26,280.0
1999-03-29,280.6
1999-03-30,279.5
1999-03-31,280.3
1999-04-01,280.7
1999-04-05,278.7
1999-04-06,280.2
1999-04-07,280.8
1999-04-08,281.1
1999-04-09,281.8
1999-04-12,283.1
1999-04-13,284.2
1999-04-14,281.7
1999-04-15,283.8
1999-04-16,284.5
1999-04-19,285.1
1999-04-20,284.7
1999-04-21,284.1
1999-04-22,283.3
1999-04-23,283.8
1999-04-26,281.5
1999-04-27,282.5
1999-04-28,283.2
1999-04-29,286.3
1999-04-30,286.8
1999-05-03,286.5
1999-05-04,285.9
1999-05-05,287.5
1999-05-06,289.8
