Players,Money,Crash
661,3738.15,3.74
636,3947.16,1.28
573,3338.64,1.41
524,3938.32,1.44
554,3879.22,1.02
550,4061.22,4.01
643,3734.88,3.64
590,3010.09,1.95
486,3422.22,1.00
465,3190.43,1.98
585,4518.51,2.63
636,3974.12,1.12
462,4267.35,1.19
428,4886.13,5.41
599,4187.02,1.23
430,3314.77,19.92
514,4079.78,1.84
527,3749.48,1.85
538,3520.46,1.12
525,3540.54,1.15
549,3836.53,1.93
615,5264.86,10.92
570,3529.94,3.72
552,3830.91,1.45
430,2888.58,1.03
409,3087.99,3.21
579,3983.53,2.22
429,2430.61,6.53
505,3117.14,1.22
327,2116.73,2.13
487,3106.72,21.83
521,2641.01,1.87
424,2828.03,4.89
561,3231.85,1.00
463,3035.04,4.28
492,2315.24,1.12
565,3287.72,5.60
456,2300.16,1.00
597,4328.52,7.26
417,2401.80,1.19
640,4122.83,5.04
405,2055.31,2.10
508,3033.61,1.10
494,3376.15,1.24
461,3347.71,7.24
564,3170.95,1.29
450,3155.58,5.53
432,2935.44,1.00
571,4769.00,1.11
542,3460.39,1.02
505,3961.08,8.58
596,4739.57,2.32
477,4166.35,1.13
353,2930.18,2.84
514,3588.64,1.02
483,3829.33,1.00
471,4215.36,1.39
587,5375.66,1.09
559,5095.24,1.53
576,6648.17,7.88
521,3527.50,1.34
410,2907.67,1.00
420,2692.76,1.03
437,2799.78,1.98
572,4915.92,4.67
487,3031.12,18.51
492,2640.05,3.09
433,2246.45,3.86
431,2019.43,1.00
320,1716.20,1.13
300,1814.85,1.07
356,2023.92,1.00
496,3894.85,2.25
576,3837.58,2.45
536,2933.28,1.36
373,2081.58,2.88
497,2622.69,1.73
480,3287.20,1.07
410,2967.51,1.01
424,3817.56,3.44
573,3566.58,1.67
398,2630.39,7.83
457,2694.74,2.00
439,2545.61,2.71
437,2851.88,1.21
353,2296.21,5.03
432,2612.42,15.26
462,2528.66,1.38
386,1825.16,1.36
379,1864.25,11.14
561,4518.70,1.00
395,5501.92,2.34
519,3020.41,1.06
505,3084.31,1.26
524,3721.31,1.20
552,4698.82,50.34
509,3568.75,1.78
418,2826.79,1.76
470,3417.37,6.58
471,2661.03,1.63
420,2175.58,1.54
547,3352.78,1.99
659,4778.45,1.00
626,7567.63,4.22
592,3931.98,1.24
461,2504.05,1.79
496,3184.37,1.56
